module,unroll_factor,metric_name,metric_val
conv,512,slack,3.858
conv,512,clock_period_minus_wns,6.1419999999999995
conv,512,Arithmetic,252
conv,512,CLB,34843
conv,512,Register,34125
conv,512,LatencyBest,755
conv,512,LatencyAvg,755
conv,512,LatencyWorst,755
conv,512,PipelineII,756
conv,512,elapsed_time,170.64
conv,64,target_clock_period,10.0
conv,64,slack,3.858
conv,64,clock_period_minus_wns,6.1419999999999995
conv,64,Arithmetic,165
conv,64,CLB,23838
conv,64,Register,14768
conv,64,LatencyBest,1361
conv,64,LatencyAvg,1361
conv,64,LatencyWorst,1361
conv,64,PipelineII,1362
conv,64,elapsed_time,82.95
conv,8,target_clock_period,10.0
conv,8,slack,3.636
conv,8,clock_period_minus_wns,6.364
conv,8,Arithmetic,20
conv,8,CLB,2056
conv,8,Register,1146
conv,8,LatencyBest,61940
conv,8,LatencyAvg,61940
conv,8,LatencyWorst,61940
conv,8,PipelineII,61941
conv,8,elapsed_time,29.49
max_pool_2d,128,target_clock_period,10.0
max_pool_2d,128,slack,7.304
max_pool_2d,128,clock_period_minus_wns,2.6959999999999997
max_pool_2d,128,CLB,16810
max_pool_2d,128,Register,11934
max_pool_2d,128,LatencyBest,51
max_pool_2d,128,LatencyAvg,51
max_pool_2d,128,LatencyWorst,51
max_pool_2d,128,PipelineII,52
max_pool_2d,128,elapsed_time,3.06
max_pool_2d,16,target_clock_period,10.0
max_pool_2d,16,slack,7.351
max_pool_2d,16,clock_period_minus_wns,2.649
max_pool_2d,16,CLB,2766
max_pool_2d,16,Register,1868
max_pool_2d,16,LatencyBest,196
max_pool_2d,16,LatencyAvg,196
max_pool_2d,16,LatencyWorst,196
max_pool_2d,16,PipelineII,197
max_pool_2d,16,elapsed_time,3.31
max_pool_2d,2,target_clock_period,10.0
max_pool_2d,2,slack,8.294
max_pool_2d,2,clock_period_minus_wns,1.7059999999999995
max_pool_2d,2,CLB,425
max_pool_2d,2,Register,257
max_pool_2d,2,LatencyBest,2293
max_pool_2d,2,LatencyAvg,2293
max_pool_2d,2,LatencyWorst,2293
max_pool_2d,2,PipelineII,2294
max_pool_2d,2,elapsed_time,2.7
max_pool_2d,256,target_clock_period,10.0
max_pool_2d,256,slack,7.304
max_pool_2d,256,clock_period_minus_wns,2.6959999999999997
max_pool_2d,256,CLB,16810
max_pool_2d,256,Register,11934
max_pool_2d,256,LatencyBest,51
max_pool_2d,256,LatencyAvg,51
max_pool_2d,256,LatencyWorst,51
max_pool_2d,256,PipelineII,52
max_pool_2d,256,elapsed_time,2.89
max_pool_2d,32,target_clock_period,10.0
max_pool_2d,32,slack,7.351
max_pool_2d,32,clock_period_minus_wns,2.649
max_pool_2d,32,CLB,2766
max_pool_2d,32,Register,1868
max_pool_2d,32,LatencyBest,196
max_pool_2d,32,LatencyAvg,196
max_pool_2d,32,LatencyWorst,196
max_pool_2d,32,PipelineII,197
max_pool_2d,32,elapsed_time,3.71
max_pool_2d,4,target_clock_period,10.0
max_pool_2d,4,slack,8.235
max_pool_2d,4,clock_period_minus_wns,1.7650000000000006
max_pool_2d,4,CLB,1096
max_pool_2d,4,Register,576
max_pool_2d,4,LatencyBest,402
max_pool_2d,4,LatencyAvg,402
max_pool_2d,4,LatencyWorst,402
max_pool_2d,4,PipelineII,403
max_pool_2d,64,target_clock_period,10.0
max_pool_2d,64,slack,7.304
max_pool_2d,64,clock_period_minus_wns,2.6959999999999997
max_pool_2d,64,CLB,16810
max_pool_2d,64,Register,11934
max_pool_2d,64,LatencyBest,51
max_pool_2d,64,LatencyAvg,51
max_pool_2d,64,LatencyWorst,51
max_pool_2d,64,PipelineII,52
max_pool_2d,64,elapsed_time,2.99
max_pool_2d,8,target_clock_period,10.0
max_pool_2d,8,slack,8.235
max_pool_2d,8,clock_period_minus_wns,1.7650000000000006
max_pool_2d,8,CLB,1136
max_pool_2d,8,Register,565
max_pool_2d,8,LatencyBest,330
max_pool_2d,8,LatencyAvg,330
max_pool_2d,8,LatencyWorst,330
max_pool_2d,8,PipelineII,331
max_pool_2d,8,elapsed_time,3.03
max_pool_2d,1024,elapsed_time,2.96
max_pool_2d,512,elapsed_time,3.01
soft_max,128,target_clock_period,10.0
soft_max,128,slack,3.374
soft_max,128,clock_period_minus_wns,6.6259999999999994
soft_max,128,Arithmetic,512
soft_max,128,BLOCKRAM,1152
soft_max,128,CLB,40541
soft_max,128,Register,18777
soft_max,128,LatencyBest,812
soft_max,128,LatencyAvg,812
soft_max,128,LatencyWorst,812
soft_max,128,PipelineII,813
soft_max,128,elapsed_time,308.66
soft_max,16,target_clock_period,10.0
soft_max,16,slack,3.405
soft_max,16,clock_period_minus_wns,6.595000000000001
soft_max,16,Arithmetic,64
soft_max,16,BLOCKRAM,144
soft_max,16,CLB,5842
soft_max,16,Register,2909
soft_max,16,LatencyBest,4060
soft_max,16,LatencyAvg,4060
soft_max,16,LatencyWorst,4060
soft_max,16,PipelineII,4061
soft_max,16,elapsed_time,54.96
soft_max,2,target_clock_period,10.0
soft_max,2,slack,3.618
soft_max,2,clock_period_minus_wns,6.382
soft_max,2,Arithmetic,8
soft_max,2,BLOCKRAM,18
soft_max,2,CLB,1756
soft_max,2,Register,1079
soft_max,2,LatencyBest,10304
soft_max,2,LatencyAvg,10304
soft_max,2,LatencyWorst,10304
soft_max,2,PipelineII,10305
soft_max,2,elapsed_time,36.39
soft_max,256,target_clock_period,10.0
soft_max,256,slack,3.629
soft_max,256,clock_period_minus_wns,6.371
soft_max,256,Arithmetic,1024
soft_max,256,BLOCKRAM,2304
soft_max,256,CLB,84362
soft_max,256,Register,35802
soft_max,256,LatencyBest,820
soft_max,256,LatencyAvg,820
soft_max,256,LatencyWorst,820
soft_max,256,PipelineII,821
soft_max,256,elapsed_time,779.56
soft_max,32,target_clock_period,10.0
soft_max,32,slack,3.406
soft_max,32,clock_period_minus_wns,6.593999999999999
soft_max,32,Arithmetic,128
soft_max,32,BLOCKRAM,288
soft_max,32,CLB,10933
soft_max,32,Register,5196
soft_max,32,LatencyBest,2108
soft_max,32,LatencyAvg,2108
soft_max,32,LatencyWorst,2108
soft_max,32,PipelineII,2109
soft_max,32,elapsed_time,91.53
soft_max,4,target_clock_period,10.0
soft_max,4,slack,3.413
soft_max,4,clock_period_minus_wns,6.587
soft_max,4,Arithmetic,16
soft_max,4,BLOCKRAM,36
soft_max,4,CLB,2389
soft_max,4,Register,1367
soft_max,4,LatencyBest,6724
soft_max,4,LatencyAvg,6724
soft_max,4,LatencyWorst,6724
soft_max,4,PipelineII,6725
soft_max,4,elapsed_time,39.59
soft_max,512,target_clock_period,10.0
soft_max,512,slack,3.374
soft_max,512,clock_period_minus_wns,6.6259999999999994
soft_max,512,Arithmetic,2048
soft_max,512,BLOCKRAM,4032
soft_max,512,CLB,172757
soft_max,512,Register,86257
soft_max,512,LatencyBest,1208
soft_max,512,LatencyAvg,1208
soft_max,512,LatencyWorst,1208
soft_max,512,PipelineII,1209
soft_max,512,elapsed_time,3491.6
soft_max,64,target_clock_period,10.0
soft_max,64,slack,3.374
soft_max,64,clock_period_minus_wns,6.6259999999999994
soft_max,64,Arithmetic,256
soft_max,64,BLOCKRAM,576
soft_max,64,CLB,20662
soft_max,64,Register,9724
soft_max,64,LatencyBest,1180
soft_max,64,LatencyAvg,1180
soft_max,64,LatencyWorst,1180
soft_max,64,PipelineII,1181
soft_max,64,elapsed_time,147.03
soft_max,8,target_clock_period,10.0
soft_max,8,slack,3.413
soft_max,8,clock_period_minus_wns,6.587
soft_max,8,Arithmetic,32
soft_max,8,BLOCKRAM,72
soft_max,8,CLB,3565
soft_max,8,Register,1887
soft_max,8,LatencyBest,4940
soft_max,8,LatencyAvg,4940
soft_max,8,LatencyWorst,4940
soft_max,8,PipelineII,4941
soft_max,8,elapsed_time,44.86
soft_max,1024,elapsed_time,21754.0
