module,unroll_factor,metric_name,metric_val
soft_max,1024,target_clock_period,10.0
soft_max,1024,slack,2.876
soft_max,1024,clock_period_minus_wns,7.1240000000000006
soft_max,1024,DSPs,0.35
soft_max,1024,LUTs,1.74
soft_max,1024,RAMs,0.84
soft_max,1024,Registers,0.86
soft_max,1024,LatencyBest,12720
soft_max,1024,LatencyAvg,12720
soft_max,1024,LatencyWorst,12720
soft_max,1024,PipelineII,12720
soft_max,1024,elapsed_time,1127.19
